city,latitude,longitude,datetimeUtc,co,no2,o3,pm10,pm25,so2,Temperature,Humidity,Wind Speed,Wind Direction
"Hebbal 1st Stage, Bengaluru - KSPCB",13.0358,77.597,2026-05-01 09:54:00+00:00,222.22,3.82,105.68,27.09,22.45,1.9,33.45,45,3.09,280
"Hebbal 1st Stage, Bengaluru - KSPCB",13.0358,77.597,2026-05-01 11:35:20+00:00,355.03,16.24,80.23,32.12,26.84,3.61,33.66,43,4.12,260
