city,latitude,longitude,datetimeUtc,co,no2,o3,pm10,pm25,so2,Temperature,Humidity,Wind Speed,Wind Direction
"Fort William, Kolkata - WBPCB",22.55664,88.342674,2026-05-01 09:53:36+00:00,308.39,3.23,128.08,63.87,51.15,5.0,29.97,66,4.12,160
"Fort William, Kolkata - WBPCB",22.55664,88.342674,2026-05-01 11:35:00+00:00,385.61,7.98,127.97,69.81,56.05,6.19,28.96,74,3.09,100
