city,latitude,longitude,datetimeUtc,co,no2,o3,pm10,pm25,so2,Temperature,Humidity,Wind Speed,Wind Direction
"Karni Colony, Nagpur - MPCB",21.1458,79.0882,2026-05-01 09:53:48+00:00,117.94,0.82,110.27,49.2,23.49,3.15,40,18,5.14,280
"Karni Colony, Nagpur - MPCB",21.1458,79.0882,2026-05-01 11:35:09+00:00,120.72,1.27,107.55,49.84,23.17,2.89,41,14,4.63,310
