city,latitude,longitude,datetimeUtc,co,no2,o3,pm10,pm25,so2,Temperature,Humidity,Wind Speed,Wind Direction
"Nehru Nagar, Delhi - DPCC",28.5672,77.2537,2026-05-01 09:53:42+00:00,206.29,1.45,146.83,91.49,42.98,2.89,34.1,38,3.09,80
"Nehru Nagar, Delhi - DPCC",28.5672,77.2537,2026-05-01 11:35:05+00:00,196.69,2.88,139.42,82.49,37.27,2.64,34.1,40,3.09,100
