city,latitude,longitude,datetimeUtc,co,no2,o3,pm10,pm25,so2,Temperature,Humidity,Wind Speed,Wind Direction
"Jawahar Nagar, Amritsar - PPCB",31.634,74.8723,2026-05-01 09:53:54+00:00,228.98,1.48,148.3,44.14,32.47,5.67,34.97,28,1.03,0
"Jawahar Nagar, Amritsar - PPCB",31.634,74.8723,2026-05-01 11:35:15+00:00,234.06,2.18,146.04,42.43,30.84,5.57,35.95,24,2.06,220
